,GROUP_NAME,PlusMinus
0,K. Walker - R. Bullock - T. Hardaway Jr. - C. Wood - D. Finney-Smith,12.0
1,K. Caldwell-Pope - N. Jokic - M. Porter Jr. - Z. Nnaji - B. Hyland,4.0
2,D. Jordan - V. Cancar - B. Brown - M. Porter Jr. - C. Braun,-4.0
3,R. Westbrook - E. Gordon - P. George - M. Morris Sr. - I. Zubac,-12.0
4,D. Jordan - R. Jackson - B. Brown - C. Braun - P. Watson,-3.0
5,D. Lillard - J. Nurkic - M. Thybulle - T. Watford - S. Sharpe,10.0
6,D. Jordan - R. Jackson - A. Gordon - B. Brown - C. Braun,-10.0
7,G. Harris - B. Bol - F. Wagner - P. Banchero - C. Houstan,-4.0
8,B. Bogdanovic - S. Bey - I. Stewart - C. Cunningham - J. Ivey,-2.7
9,J. Poeltl - P. Siakam - F. VanVleet - O. Anunoby - S. Barnes,3.5
10,D. Schroder - M. Beasley - M. Bamba - T. Brown Jr. - J. Vanderbilt,3.0
11,J. Tatum - D. White - R. Williams III - G. Williams - P. Pritchard,2.0
12,K. Olynyk - M. Beasley - J. Vanderbilt - N. Alexander-Walker - T. Horton-Tucker,-7.0
13,M. Robinson - R. Barrett - Q. Grimes - O. Toppin - I. Quickley,22.0
14,C. Capela - D. Murray - J. Culver - J. Johnson - A. Griffin,3.0
15,R. Arcidiacono - D. Eubanks - C. Reddish - N. Little - M. Thybulle,2.0
16,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,4.9
17,B. Bogdanovic - R. McGruder - M. Bagley III - K. Hayes - I. Livers,-10.0
18,A. Gordon - V. Cancar - B. Brown - Z. Nnaji - C. Braun,-7.0
19,G. Dieng - K. Johnson - D. Vassell - T. Jones - J. Sochan,-14.0
20,J. McGee - K. Irving - C. Wood - L. Doncic - J. Green,11.0
21,S. Adams - T. Jones - D. Brooks - J. Jackson Jr. - D. Bane,0.0
22,C. Capela - D. Murray - J. Collins - T. Young - D. Hunter,1.9
23,G. Hayward - D. Smith Jr. - S. Mykhailiuk - P. Washington - M. Williams,16.0
24,D. DeRozan - P. Beverley - N. Vucevic - Z. LaVine - A. Caruso,4.4
25,D. Eubanks - M. Thybulle - S. Mays - T. Watford - S. Sharpe,-6.0
26,J. Green - K. Martin Jr. - J. Christopher - A. Sengun - J. Smith Jr.,-6.0
27,R. Westbrook - E. Gordon - N. Batum - K. Leonard - I. Zubac,6.8
28,Z. Collins - K. Bates-Diop - D. Graham - D. Vassell - J. Sochan,15.0
29,H. Barnes - A. Len - T. Davis - D. Mitchell - K. Murray,-20.0
30,R. Bullock - T. Hardaway Jr. - S. Dinwiddie - C. Wood - L. Doncic,-0.9
31,D. Lillard - J. Grant - J. Nurkic - J. Hart - A. Simons,-0.1
32,T. Jones - J. Jackson Jr. - X. Tillman - D. Bane - S. Aldama,10.0
33,M. Morris - D. Bertans - F. Ntilikina - T. Pinson - J. Hardy,-10.0
34,P. George - K. Leonard - I. Zubac - L. Kennard - T. Mann,3.3
35,W. Carter Jr. - B. Bol - C. Okeke - F. Wagner - J. Suggs,-1.3
36,K. Dunn - U. Azubuike - J. Toscano-Anderson - L. Samanic - O. Agbaji,11.0
37,C. Paul - T. Craig - M. Bridges - D. Ayton - C. Johnson,4.8
38,C. Paul - K. Durant - D. Booker - J. Okogie - D. Ayton,4.8
39,T. Ross - M. Bamba - C. Anthony - R. Hampton - P. Banchero,6.0
40,J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,2.2
41,K. Lowry - J. Butler - C. Martin - M. Strus - N. Jovic,0.0
42,R. Westbrook - P. George - M. Morris Sr. - K. Leonard - I. Zubac,4.6
43,G. Harris - M. Fultz - W. Carter Jr. - F. Wagner - P. Banchero,0.4
44,E. Fournier - J. Randle - J. Brunson - M. Robinson - R. Barrett,-3.7
45,J. Poeltl - P. Siakam - F. VanVleet - P. Achiuwa - S. Barnes,7.7
46,C. Paul - B. Biyombo - D. Booker - M. Bridges - C. Johnson,4.5
47,K. Knox II - D. Eubanks - S. Mays - S. Sharpe - J. Williams,-5.0
48,J. Green - D. Jordan - K. Caldwell-Pope - J. Murray - M. Porter Jr.,3.0
49,J. Konchar - D. Roddy - V. Williams Jr. - K. Lofton Jr. - J. Gilyard,-8.0
50,T. Young - P. Siakam - J. Hernangomez - F. VanVleet - O. Anunoby,0.0
51,C. Zeller - D. Robinson - G. Vincent - H. Highsmith - M. Strus,-18.0
52,K. Knox II - D. Eubanks - N. Little - M. Thybulle - S. Sharpe,-26.0
53,R. Gobert - D. Russell - K. Towns - A. Edwards - J. McDaniels,1.5
54,C. Paul - B. Biyombo - T. Craig - M. Bridges - C. Johnson,4.0
55,J. Wiseman - K. Hayes - I. Livers - J. Ivey - J. Duren,0.0
56,A. Horford - J. Tatum - D. White - R. Williams III - S. Hauser,9.3
57,M. Morris Sr. - R. Jackson - I. Zubac - A. Coffey - T. Mann,-6.8
58,R. McGruder - M. Bagley III - K. Hayes - S. Bey - I. Livers,6.0
59,J. Butler - B. Adebayo - C. Martin - T. Herro - D. Smith,1.0
60,K. Lowry - B. Adebayo - C. Martin - M. Strus - N. Jovic,-8.5
61,M. Wagner - B. Bol - A. Schofield - C. Anthony - J. Suggs,0.0
62,P. Beverley - D. Schroder - T. Bryant - T. Brown Jr. - R. Hachimura,0.0
63,E. Gordon - K. Porter Jr. - J. Green - A. Sengun - J. Smith Jr.,-3.2
64,K. Olynyk - L. Markkanen - T. Horton-Tucker - O. Agbaji - W. Kessler,3.7
65,D. Jones - W. Gabriel - K. Nunn - S. Pippen Jr. - M. Christie,-7.0
66,J. Butler - D. Robinson - G. Vincent - M. Strus - O. Robinson,1.0
67,J. Butler - J. Robinson-Earl - T. Mann - O. Sarr - O. Dieng,1.3
68,M. Fultz - G. Bitadze - C. Anthony - F. Wagner - J. Suggs,-9.0
69,M. Turner - B. Hield - A. Nembhard - J. Nwora - A. Nesmith,-13.5
70,H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,0.9
71,K. Olynyk - J. Clarkson - M. Beasley - C. Sexton - W. Kessler,6.0
72,R. McGruder - M. Bagley III - J. Wiseman - K. Hayes - J. Ivey,-8.0
73,G. Hayward - M. Plumlee - T. Rozier - P. Washington - L. Ball,-0.7000000000000001
74,K. Love - J. Butler - B. Adebayo - G. Vincent - T. Herro,-0.30000000000000004
75,P. George - M. Morris Sr. - K. Leonard - I. Zubac - T. Mann,3.3
76,K. Durant - K. Irving - S. Curry - B. Simmons - N. Claxton,12.0
77,N. Vucevic - A. Caruso - C. White - P. Williams - A. Dosunmu,1.0
78,P. Tucker - J. Harden - T. Harris - J. Embiid - D. Melton,2.2
79,J. Okogie - L. Shamet - J. Landale - S. Lee - I. Wainright,2.0
80,C. Capela - B. Bogdanovic - T. Young - T. Forrest - A. Griffin,1.0
81,K. Caldwell-Pope - N. Jokic - J. Murray - V. Cancar - M. Porter Jr.,2.2
82,M. Fultz - M. Wagner - B. Bol - F. Wagner - P. Banchero,-1.5
83,G. Hayward - M. Plumlee - K. Oubre Jr. - T. Rozier - P. Washington,-4.0
84,S. Dinwiddie - D. Finney-Smith - M. Bridges - N. Claxton - C. Johnson,0.8
85,S. Mykhailiuk - T. Maledon - N. Richards - J. Thor - B. McGowens,8.0
86,W. Carter Jr. - B. Bol - F. Wagner - J. Suggs - P. Banchero,-2.0
87,I. Smith - R. Jackson - T. Bryant - Z. Nnaji - J. White,11.0
88,J. Richardson - J. Poeltl - K. Bates-Diop - K. Johnson - M. Branham,-1.8
89,P. Siakam - F. VanVleet - O. Anunoby - G. Trent Jr. - S. Barnes,0.30000000000000004
90,C. Paul - D. Booker - T. Craig - J. Okogie - D. Ayton,3.5
91,P. Tucker - J. Harden - T. Harris - D. Melton - T. Maxey,2.6
92,D. Booker - C. Payne - T. Craig - M. Bridges - D. Ayton,-0.6000000000000001
93,D. Lillard - J. Nurkic - A. Simons - M. Thybulle - T. Watford,-1.7000000000000002
94,K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown - Z. Nnaji,-0.5
95,K. Lowry - K. Love - C. Martin - H. Highsmith - T. Herro,18.0
96,M. Conley - R. Gobert - K. Anderson - K. Towns - J. McDaniels,7.0
97,M. Conley - R. Gobert - K. Anderson - A. Edwards - J. McDaniels,2.1
98,R. Gobert - K. Anderson - D. Russell - A. Edwards - J. McDaniels,3.4
99,E. Gordon - J. Green - K. Martin Jr. - A. Sengun - J. Smith Jr.,-3.4
100,M. Wagner - G. Bitadze - C. Anthony - F. Wagner - C. Houstan,12.0
101,T. Young - P. Siakam - G. Trent Jr. - P. Achiuwa - S. Barnes,3.0
102,B. Bogdanovic - K. Hayes - I. Stewart - J. Ivey - J. Duren,-4.5
103,J. Randle - I. Hartenstein - J. Brunson - R. Barrett - C. Reddish,-2.0
104,P. George - M. Morris Sr. - R. Jackson - I. Zubac - T. Mann,-0.4
105,M. Turner - B. Hield - A. Nembhard - T. Haliburton - A. Nesmith,0.6000000000000001
106,N. Batum - J. Wall - M. Morris Sr. - K. Leonard - M. Diabate,-6.0
107,P. George - M. Morris Sr. - I. Zubac - T. Mann - B. Boston Jr.,-14.0
108,P. Tucker - T. Harris - J. Embiid - M. Thybulle - T. Maxey,9.5
109,T. Young - F. VanVleet - O. Anunoby - S. Barnes - D. Banton,-14.0
110,B. Beal - K. Porzingis - D. Wright - K. Kuzma - D. Gafford,2.0
111,D. Eubanks - S. Mays - T. Watford - J. Butler Jr. - J. Williams,-1.0
112,J. Green - I. Smith - K. Caldwell-Pope - T. Bryant - C. Braun,0.5
113,K. Lowry - C. Martin - H. Highsmith - M. Strus - O. Robinson,3.0
114,K. Porzingis - D. Wright - M. Morris - D. Avdija - C. Kispert,6.0
115,L. James - D. Schroder - T. Bryant - J. Toscano-Anderson - M. Christie,-5.0
116,D. Mitchell - J. Allen - D. Garland - L. Stevens - E. Mobley,-0.9
117,D. Saric - L. Waters III - A. Wiggins - J. Williams - O. Dieng,8.0
118,M. Muscala - J. Brown - D. White - R. Williams III - S. Hauser,-3.0
119,N. Batum - K. Leonard - I. Zubac - A. Coffey - T. Mann,-6.0
120,B. Hield - A. Nembhard - C. Duarte - I. Jackson - B. Mathurin,-14.0
121,C. Capela - T. Young - D. Hunter - T. Forrest - A. Griffin,0.0
122,D. Graham - K. Johnson - T. Jones - S. Mamukelashvili - M. Branham,-8.0
